Quansheng UV-K1 factory firmware — function map
================================================================================

Address          Name                                               Description
------------------------------------------------------------------------------------------------------------------------
BK4829_SetDTMFToneFreqs BK4829_Configure_BK4829_SetDTMFToneFreqs           BK4829 multi-register configuration (8 writes)
BK4829_SetupAM   BK4829_MultiConfig_BK4829_SetupAM                  Multi-register BK4829 config (5 writes)
BK4829_SetupTX   BK4829_SetTone_2                                   Configure tone generator (REG_70/71/72)
BK4829_SetupFM   BK4829_MultiConfig_BK4829_SetupFM                  Multi-register BK4829 config (5 writes)
BK4829_DisableDTMF BK4829_SetDTMF_ENABLE                              Set register DTMF_ENABLE (0x24)
BK4829_Init      BK4829_SetupAGC                                    Configure AGC gain table (REG_10-14, REG_49)
BK4829_SetFilterBandwidth BK4829_SetIF_BW                                    Set register IF_BW (0x43)
BK4829_SetFrequency BK4829_SetFreqRegisters                            Write frequency to REG_FREQ_LOW/HIGH (0x38/39)
BK4829_SetToneFrequency BK4829_SetTX_TONE                                  Set register TX_TONE (0x36)
BK4829_PLLCalibration BK4829_SetTone_4                                   Configure tone generator (REG_70/71/72)
BK4829_EnableDTMF function_BK4829_EnableDTMF                         Unidentified (4 lines, 0 calls)
BK4829_WriteRegister function_BK4829_WriteRegister                      Unidentified (17 lines, 7 calls)
BK4829_ReadRegister function_BK4829_ReadRegister                       Unidentified (36 lines, 12 calls)
BK4829_SwitchJumpTable function_BK4829_SwitchJumpTable                    Unidentified (3 lines, 0 calls)
0x8001f04        handler_8001f04                                    Event/state handler with switch
0x8001f54        function_8001f54                                   Unidentified (8 lines, 1 calls)
0x8001f78        handler_8001f78                                    Event/state handler with switch
0x8002104        function_8002104                                   Unidentified (4 lines, 3 calls)
0x8002120        function_8002120                                   Unidentified (10 lines, 2 calls)
0x8002168        function_8002168                                   Unidentified (10 lines, 2 calls)
0x80021a8        BK4829_MultiConfig_80021a8                         Multi-register BK4829 config (5 writes)
0x80023c4        function_80023c4                                   Unidentified (29 lines, 12 calls)
0x8002474        SM_8002474                                         State machine (2 switch statements)
0x80024d8        function_80024d8                                   Unidentified (11 lines, 1 calls)
0x8002504        function_8002504                                   Unidentified (13 lines, 4 calls)
0x8002550        function_8002550                                   Unidentified (16 lines, 3 calls)
0x8002578        function_8002578                                   Unidentified (17 lines, 2 calls)
0x80025a4        function_80025a4                                   Unidentified (16 lines, 1 calls)
0x80025cc        function_80025cc                                   Unidentified (29 lines, 1 calls)
0x8002614        function_8002614                                   Unidentified (28 lines, 1 calls)
0x800264c        function_800264c                                   Unidentified (4 lines, 1 calls)
0x800264e        function_800264e                                   Unidentified (4 lines, 1 calls)
0x8002688        function_8002688                                   Unidentified (30 lines, 4 calls)
0x80026d8        function_80026d8                                   Unidentified (6 lines, 3 calls)
0x80026f8        function_80026f8                                   Unidentified (7 lines, 5 calls)
0x8002710        function_8002710                                   Unidentified (19 lines, 3 calls)
