Quansheng UV-K1 factory firmware — function map
================================================================================

Address          Name                                               Description
------------------------------------------------------------------------------------------------------------------------
BK4829_SetDTMFToneFreqs BK4829_Configure_BK4829_SetDTMFToneFreqs           BK4829 multi-register configuration (8 writes)
BK4829_SetupAM   BK4829_MultiConfig_BK4829_SetupAM                  Multi-register BK4829 config (5 writes)
BK4829_SetupTX   BK4829_SetTone_2                                   Configure tone generator (REG_70/71/72)
BK4829_SetupFM   BK4829_MultiConfig_BK4829_SetupFM                  Multi-register BK4829 config (5 writes)
BK4829_DisableDTMF BK4829_SetDTMF_ENABLE                              Set register DTMF_ENABLE (0x24)
BK4829_Init      BK4829_SetupAGC                                    Configure AGC gain table (REG_10-14, REG_49)
BK4829_SetFilterBandwidth BK4829_SetIF_BW                                    Set register IF_BW (0x43)
BK4829_SetFrequency BK4829_SetFreqRegisters                            Write frequency to REG_FREQ_LOW/HIGH (0x38/39)
BK4829_SetToneFrequency BK4829_SetTX_TONE                                  Set register TX_TONE (0x36)
BK4829_PLLCalibration BK4829_SetTone_4                                   Configure tone generator (REG_70/71/72)
BK4829_EnableDTMF function_BK4829_EnableDTMF                         Unidentified (4 lines, 0 calls)
BK4829_WriteRegister function_BK4829_WriteRegister                      Unidentified (17 lines, 7 calls)
BK4829_ReadRegister function_BK4829_ReadRegister                       Unidentified (36 lines, 12 calls)
BK4829_SwitchJumpTable function_BK4829_SwitchJumpTable                    Unidentified (3 lines, 0 calls)
0x800d518        function_800d518                                   Unidentified (31 lines, 8 calls)
0x800d564        function_800d564                                   Unidentified (15 lines, 5 calls)
0x800d5a4        function_800d5a4                                   Unidentified (6 lines, 5 calls)
0x800d5d0        function_800d5d0                                   Unidentified (27 lines, 24 calls)
0x800d66c        function_800d66c                                   Unidentified (6 lines, 4 calls)
0x800d692        function_800d692                                   Unidentified (4 lines, 2 calls)
0x800d6a4        function_800d6a4                                   Unidentified (13 lines, 9 calls)
0x800d6fc        function_800d6fc                                   Unidentified (19 lines, 10 calls)
0x800d774        function_800d774                                   Unidentified (4 lines, 2 calls)
0x800d784        function_800d784                                   Unidentified (27 lines, 9 calls)
0x800d800        function_800d800                                   Unidentified (7 lines, 3 calls)
0x800d830        function_800d830                                   Unidentified (16 lines, 6 calls)
0x800d850        function_800d850                                   Unidentified (114 lines, 18 calls)
0x800d98c        function_800d98c                                   Unidentified (6 lines, 2 calls)
0x800d9a2        function_800d9a2                                   Unidentified (24 lines, 4 calls)
0x800d9dc        function_800d9dc                                   Unidentified (27 lines, 13 calls)
0x800da64        function_800da64                                   Unidentified (17 lines, 6 calls)
0x800db00        function_800db00                                   Unidentified (10 lines, 1 calls)
0x800db1c        function_800db1c                                   Unidentified (25 lines, 8 calls)
0x800dbfc        function_800dbfc                                   Unidentified (28 lines, 14 calls)
0x800dcc0        function_800dcc0                                   Unidentified (28 lines, 14 calls)
0x800dd84        function_800dd84                                   Unidentified (10 lines, 1 calls)
0x800dda0        function_800dda0                                   Unidentified (16 lines, 3 calls)
0x800ddf8        function_800ddf8                                   Unidentified (42 lines, 8 calls)
0x800df2c        SM_800df2c                                         State machine (2 switch statements)
0x800e154        function_800e154                                   Unidentified (9 lines, 1 calls)
0x800e174        function_800e174                                   Unidentified (33 lines, 4 calls)
0x800e200        function_800e200                                   Unidentified (4 lines, 1 calls)
0x800e20c        function_800e20c                                   Unidentified (9 lines, 2 calls)
0x800e248        function_800e248                                   Unidentified (87 lines, 6 calls)
0x800e388        function_800e388                                   Unidentified (27 lines, 3 calls)
0x800e3f8        function_800e3f8                                   Unidentified (71 lines, 13 calls)
0x800e48c        function_800e48c                                   Unidentified (9 lines, 4 calls)
0x800e514        function_800e514                                   Unidentified (5 lines, 1 calls)
0x800e52c        function_800e52c                                   Unidentified (5 lines, 1 calls)
0x800e544        function_800e544                                   Unidentified (4 lines, 1 calls)
0x800e554        function_800e554                                   Unidentified (15 lines, 1 calls)
0x800e580        function_800e580                                   Unidentified (6 lines, 1 calls)
0x800e5a0        function_800e5a0                                   Unidentified (6 lines, 1 calls)
0x800e5b8        function_800e5b8                                   Unidentified (6 lines, 1 calls)
0x800e5d0        function_800e5d0                                   Unidentified (6 lines, 1 calls)
0x800e5e8        function_800e5e8                                   Unidentified (6 lines, 1 calls)
0x800e600        function_800e600                                   Unidentified (6 lines, 1 calls)
0x800e618        function_800e618                                   Unidentified (4 lines, 1 calls)
0x800e62c        function_800e62c                                   Unidentified (4 lines, 1 calls)
0x800e644        function_800e644                                   Unidentified (7 lines, 1 calls)
0x800e660        function_800e660                                   Unidentified (6 lines, 1 calls)
0x800e674        function_800e674                                   Unidentified (6 lines, 1 calls)
0x800e688        SM_800e688                                         State machine (2 switch statements)
0x800e730        function_800e730                                   Unidentified (71 lines, 1 calls)
0x800e7d4        function_800e7d4                                   Unidentified (3 lines, 1 calls)
0x800e7e2        function_800e7e2                                   Unidentified (3 lines, 1 calls)
0x800e7f0        function_800e7f0                                   Unidentified (3 lines, 1 calls)
0x800e7fe        function_800e7fe                                   Unidentified (5 lines, 1 calls)
0x800e812        function_800e812                                   Unidentified (5 lines, 1 calls)
0x800e828        function_800e828                                   Unidentified (5 lines, 1 calls)
0x800e840        function_800e840                                   Unidentified (10 lines, 4 calls)
0x800e858        function_800e858                                   Unidentified (4 lines, 1 calls)
0x800e870        function_800e870                                   Unidentified (28 lines, 1 calls)
0x800e8dc        function_800e8dc                                   Unidentified (13 lines, 1 calls)
0x800e914        function_800e914                                   Unidentified (4 lines, 1 calls)
0x800e920        function_800e920                                   Unidentified (20 lines, 1 calls)
0x800e988        function_800e988                                   Unidentified (24 lines, 3 calls)
0x800e9f8        function_800e9f8                                   Unidentified (21 lines, 7 calls)
0x800ea6c        function_800ea6c                                   Unidentified (52 lines, 17 calls)
0x800eb1a        function_800eb1a                                   Unidentified (31 lines, 3 calls)
0x800eb68        handler_800eb68                                    Event/state handler with switch
0x800ebe8        SM_800ebe8                                         State machine (2 switch statements)
0x800ec70        handler_800ec70                                    Event/state handler with switch
0x800ecdc        function_800ecdc                                   Unidentified (13 lines, 2 calls)
0x800ed08        function_800ed08                                   Unidentified (5 lines, 1 calls)
0x800ed28        function_800ed28                                   Unidentified (5 lines, 1 calls)
0x800ed48        function_800ed48                                   Unidentified (21 lines, 3 calls)
0x800ed98        function_800ed98                                   Unidentified (18 lines, 2 calls)
0x800edc8        function_800edc8                                   Unidentified (9 lines, 4 calls)
0x800edf8        function_800edf8                                   Unidentified (3 lines, 1 calls)
0x800edfe        function_800edfe                                   Unidentified (12 lines, 3 calls)
0x800ee18        function_800ee18                                   Unidentified (30 lines, 1 calls)
0x800ee4c        function_800ee4c                                   Unidentified (8 lines, 1 calls)
0x800eea0        SM_800eea0                                         State machine (2 switch statements)
0x800f000        call_function_800e914_800f000                      Thin call to function_800e914
0x800f020        function_800f020                                   Unidentified (191 lines, 12 calls)
0x800f170        function_800f170                                   Unidentified (4 lines, 2 calls)
0x800f178        function_800f178                                   Unidentified (4 lines, 2 calls)
0x800f198        function_800f198                                   Unidentified (7 lines, 3 calls)
0x800f1c0        call_SM_800f3b0_800f1c0                            Thin call to SM_800f3b0
0x800f1d4        function_800f1d4                                   Unidentified (14 lines, 1 calls)
0x800f23c        function_800f23c                                   Unidentified (72 lines, 12 calls)
0x800f3b0        SM_800f3b0                                         State machine (10 switch statements)
0x800fa9c        function_800fa9c                                   Unidentified (7 lines, 1 calls)
0x800fabc        function_800fabc                                   Unidentified (7 lines, 1 calls)
0x800fae8        function_800fae8                                   Unidentified (5 lines, 1 calls)
0x800faf2        function_800faf2                                   Unidentified (26 lines, 7 calls)
0x800fb6c        function_800fb6c                                   Unidentified (7 lines, 9 calls)
0x800fbae        call_delay_800fbbc_800fbae                         Thin call to delay_800fbbc
0x800fbbc        delay_800fbbc                                      Delay / wait loop
0x800fc0c        function_800fc0c                                   Unidentified (21 lines, 1 calls)
0x800fcf8        function_800fcf8                                   Unidentified (3 lines, 1 calls)
0x800fd08        function_800fd08                                   Unidentified (93 lines, 38 calls)
0x800fec4        function_800fec4                                   Unidentified (16 lines, 1 calls)
0x800fee4        function_800fee4                                   Unidentified (16 lines, 1 calls)
0x800ff04        function_800ff04                                   Unidentified (16 lines, 1 calls)
0x800ff24        function_800ff24                                   Unidentified (10 lines, 2 calls)
0x800ff44        function_800ff44                                   Unidentified (4 lines, 1 calls)
0x800ff48        function_800ff48                                   Unidentified (12 lines, 1 calls)
0x800ff6c        function_800ff6c                                   Unidentified (15 lines, 1 calls)
0x800ff94        function_800ff94                                   Unidentified (8 lines, 2 calls)
0x800ffb8        function_800ffb8                                   Unidentified (10 lines, 4 calls)
0x8010014        function_8010014                                   Unidentified (8 lines, 2 calls)
0x8010030        function_8010030                                   Unidentified (7 lines, 1 calls)
0x8010048        function_8010048                                   Unidentified (4 lines, 1 calls)
0x801004a        function_801004a                                   Unidentified (4 lines, 1 calls)
0x801004c        function_801004c                                   Unidentified (4 lines, 1 calls)
0x8010050        function_8010050                                   Unidentified (15 lines, 1 calls)
0x8010074        handler_8010074                                    Event/state handler with switch
0x80100dc        function_80100dc                                   Unidentified (3 lines, 2 calls)
0x80100f0        function_80100f0                                   Unidentified (5 lines, 1 calls)
0x8010104        function_8010104                                   Unidentified (25 lines, 1 calls)
0x8010154        function_8010154                                   Unidentified (4 lines, 1 calls)
0x8010158        function_8010158                                   Unidentified (25 lines, 1 calls)
0x801018c        function_801018c                                   Unidentified (47 lines, 3 calls)
0x8010260        function_8010260                                   Unidentified (26 lines, 1 calls)
0x80102ac        function_80102ac                                   Unidentified (28 lines, 1 calls)
0x8010318        function_8010318                                   Unidentified (48 lines, 2 calls)
0x80103c4        function_80103c4                                   Unidentified (56 lines, 8 calls)
0x8010460        function_8010460                                   Unidentified (28 lines, 4 calls)
0x80104c4        function_80104c4                                   Unidentified (23 lines, 5 calls)
0x801052c        function_801052c                                   Unidentified (10 lines, 5 calls)
0x8010568        handler_8010568                                    Event/state handler with switch
0x80105fc        call_function_800ff24_80105fc                      Thin call to function_800ff24
0x8010604        call_function_8010154_8010604                      Thin call to function_8010154
0x8010638        function_8010638                                   Unidentified (7 lines, 1 calls)
0x8010654        function_8010654                                   Unidentified (8 lines, 2 calls)
0x8010686        SM_8010686                                         State machine (2 switch statements)
0x80106d8        function_80106d8                                   Unidentified (13 lines, 1 calls)
0x80107bc        handler_80107bc                                    Event/state handler with switch
0x801083c        function_801083c                                   Unidentified (13 lines, 2 calls)
0x801093c        handler_801093c                                    Event/state handler with switch
0x80109c4        function_80109c4                                   Unidentified (4 lines, 1 calls)
0x8010ad6        function_8010ad6                                   Unidentified (4 lines, 1 calls)
0x8010e12        function_8010e12                                   Unidentified (4 lines, 1 calls)
0x8010e1c        function_8010e1c                                   Unidentified (4 lines, 1 calls)
0x8010e2c        function_8010e2c                                   Unidentified (4 lines, 1 calls)
0x8010e44        function_8010e44                                   Unidentified (4 lines, 1 calls)
0x8010e72        function_8010e72                                   Unidentified (4 lines, 1 calls)
0x8010e86        function_8010e86                                   Unidentified (18 lines, 4 calls)
0x8010ec8        function_8010ec8                                   Unidentified (8 lines, 3 calls)
0x8010fa4        function_8010fa4                                   Unidentified (6 lines, 1 calls)
0x801102a        function_801102a                                   Unidentified (16 lines, 2 calls)
0x8011108        function_8011108                                   Unidentified (4 lines, 1 calls)
0x801112c        function_801112c                                   Unidentified (4 lines, 1 calls)
0x8011134        function_8011134                                   Unidentified (8 lines, 3 calls)
0x8011158        function_8011158                                   Unidentified (8 lines, 2 calls)
0x8011184        function_8011184                                   Unidentified (3 lines, 1 calls)
0x80111a2        function_80111a2                                   Unidentified (8 lines, 1 calls)
0x8011240        function_8011240                                   Unidentified (33 lines, 1 calls)
0x801129c        function_801129c                                   Unidentified (3 lines, 1 calls)
0x80113f6        function_80113f6                                   Unidentified (5 lines, 1 calls)
0x8011e8e        function_8011e8e                                   Unidentified (4 lines, 1 calls)
0x801242c        call_function_8011e8e_801242c                      Thin call to function_8011e8e

Total: 482 functions
